Jordan Parsons	L
Poppies Martinez	W
Josh Arocho	W
Nelson Junior	W
Maikon de Carvalho	W
Dener dos Santos	W
Hamilton Ferreira	W
Renato Gabardi	W
Alex de Souza	W
Kaique Silva	W
Danilo Santos	W
Mauricio Machado	W
Tiago Esquilo	W
Kelvin Kuster	W
Ramones Silva	W
Rafael Bixao	W
Vitor Miranda	W
Maicon Juliano Santos	W
Joao Capoeira	W
Guilherme Nascimento	W
Guilherme Severo	W
Antonio Bezerra	W
Luiz Valentim	W
Gustavo Mendonca	W
Fernando Giacometti	W
Lucas Moraes	W
Jonathan Giocomossi	W
Apostolis Halianis	W
Renato Tosato	W
Fabio Japones	W
Maicon Gregor	W
