Journey Newson	D
Felipe Colares	L
Vince Morales	W
Adrian Yanez	W
Chris Pham	W
Javier Obregon	W
Joel Scott	W
Caio Machado	L
Ricardo Delgado	W
Gerzan Chaw	W
Adolfo Ortega	W
