Alex Perez	L	Decision - Split	3
Richard Alarcon	W	TKO	3
Enrique Diarte	W	Submission (Rear Naked Choke)	1
Shawn Stevenson	W	TKO	1
Deondre Gibbs	W	KO	1
Chris Floyd	W	TKO	1
Sam Rodriguez	W	Submission (Rear Naked Choke)	1
Atiq Jihad	W	Decision - Unanimous	3
Ray McCreary	W	Submission (Armbar)	2
Ventura Rojas	W	Decision - Unanimous	3
Andrew Natividad	W	Submission (Rear Naked Choke)	2
