Saul Almeida	D
Bruno Dias	W
Andres Jeudi	W
Josh Lange	W
Billy Vaughan	W
Dave LaChapelle	W
Claudio Ledesma	L
Paul Gorman	W
Aguilano Brandao	L
Matthew Smith	W
Tom Giove	W
Trevor Stone	W
Barrington Douse	W
Matthew Smith	L
Franklin Isabel	W
Sean Ratcliffe	W
Chris Grandmaison	L
Jared Dumais	L
