Leonardo Santos	L
Mickael Lebout	W
Michel Silva	W
Rubenilton Pereira	W
Raul Tutarauli	W
Tahir Abdullaev	W
Jani Salmi	W
Ricardo Franco	W
Alexey Sotnikov	W
Artur Zaynukov	W
Vadim Anisimov	W
