Saad Awad	L
Stephen Martinez	W
Tom Gloudeman	W
Jose Eudes Tavares	W
Antonio Pompeu Vitor	W
Celivaldo Pereira da Silva	W
Leonardo Laiola	W
Leandro Branco	W
Ciro Ferreira Dias	W
