Chase Hooper	D
Mike Stevens	W
Sidney Outlaw	L
D'Juan Owens	W
Jordan Rinaldi	L
Pat DeFranco	L
Max Bohanan	L
Lawrence Dennis	W
Jose Mariscal	L
Lawrence Dennis	W
Eddie Lenoci	L
Eric Calderon	W
Anthony McGlynn	W
Lawrence Dennis	W
Jimmy Jordan	L
Jeff Peterson	L
