	L
Will Chope	L
Kosuke Umeda	W
Jun Doi	W
Hidekazu Asakura	W
Hiroyuki Oshiro	L
Daiki Shimizu	W
Naohiro Takaoka	W
Toshihiro Taguchi	W
Keita Kono	D
Daiki Takashima	L
Chuji Kato	L
Yusuke Akiyama	W
Fumiya Sasaki	W
Kazuma Murakoshi	W
Komei Okada	W
Fumiya Sasaki	W
Takayuki Hirose	L
Yoshifumi Nakamura	L
Kensuke Nakamura	D
Ippo Watanuki	L
Shota Utsunomiya	L
Yasuhiro Sakahara	W
Yoshitaka Abe	L
Yoshitaka Abe	D
Shin Katayama	W
Kota Okazawa	W
