Akhmed Aliev	L
Kuat Khamitov	W
Nariman Abbasov	W
Matej Truhan	W
Daniil Voevodin	W
Vasiliy Buglanov	W
Mamour Fall	W
Isao Kamiya	W
Elnur Agaev	W
Sergei Tsekunov	W
