Tatsuya Kawajiri	L
Ruslan Yamanbaev	W
Allaberdi Tumanov	W
Yves Landu	W
Yuri Ivlev	W
Talgat Shatmatov	W
Joel Alvarez	W
Ivan Ulyanchenko	W
